dataset,cluster_id,num_train_samples,num_clients_in_cluster,test_loss,test_accuracy
CSE_CIC_IDS2018,0,1347521,2,0.1617603898048401,0.9688392877578736
CSE_CIC_IDS2018,1,1347520,2,1.2079006433486938,0.7836225032806396
CSE_CIC_IDS2018,2,4042562,6,0.1790303587913513,0.95803701877594
CIC_IIoT_2025,0,20597,7,1.6336718797683716,0.4257849752902984
CIC_IIoT_2025,1,5885,2,1.879347562789917,0.3355534374713897
CIC_IIoT_2025,2,2942,1,3.562188148498535,0.1508087515830993
CIC_BCCC_IoMT_2024,0,473944,2,0.1612313538789749,0.96625816822052
CIC_BCCC_IoMT_2024,1,1658803,7,0.1608470529317855,0.9657028317451476
CIC_BCCC_IoMT_2024,2,236972,1,0.2036119550466537,0.9661242365837096
Combined,0,2741023,3,0.1676614582538604,0.9683483242988586
Combined,1,2741025,3,0.1652639955282211,0.9679147005081176
Combined,2,3654698,4,0.1771384179592132,0.9664396643638612
