,precision,recall,f1-score,support
0,0.9762782638336552,0.9995443692276671,0.9877743326609687,1031537.0
1,0.9978123254514988,0.9987188147872068,0.9982653643316995,42929.0
2,0.0,0.0,0.0,91.0
3,0.0,0.0,0.0,34.0
4,1.0,0.9999028201589862,0.999951407718398,102902.0
5,0.7308781869688386,0.9961389961389961,0.8431372549019608,259.0
6,0.995513413506013,0.99610084578093,0.9958070430110636,86429.0
7,0.9944508228090317,0.8345912959691665,0.9075351436304898,6227.0
8,0.9850947931333647,0.9996536146751916,0.9923208068883508,69287.0
9,0.7283700900430641,0.5319767441860465,0.614871936105756,20984.0
10,0.9936102236421726,0.7548543689320388,0.8579310344827586,1648.0
11,0.7167695057955136,0.8570886774238036,0.7806739314763056,29004.0
12,0.0,0.0,0.0,24290.0
13,0.0,0.0,0.0,13.0
14,0.9990412953165501,0.9998933864032126,0.9994671592483393,28139.0
accuracy,0.9717905792669623,0.9717905792669623,0.9717905792669623,0.9717905792669623
macro avg,0.6745212613666467,0.6645642622455498,0.6651823609637394,1443773.0
weighted avg,0.9553470418163487,0.9717905792669623,0.9630679158585965,1443773.0
